ICME,CME,-,Disturbance_Time,ICME_Start_Time,ICME_End_Time,V_ICME,V_max,B,MC,- ,CME_Time,Time_21.5,lat,lon,Ang_rad,V,cat
01/10/2021 11:00,28/09/2021 07:00,-,2021/10/01 1000,01/10/2021 11:00,02/10/2021 13:00,480,560,11,2,-,28/09/2021 07:00,28/09/2021 12:13,-17,43,45,649,M2M_CATALOG
28/11/2021 10:00,24/11/2021 14:09,-,2021/11/27 2251,28/11/2021 10:00,29/11/2021 02:00,370,400,10,2,-,24/11/2021 14:09,24/11/2021 19:47,-16,-3,31,561,M2M_CATALOG
02/02/2022 16:00,29/01/2022 23:36,-,2022/02/01 2220,02/02/2022 16:00,03/02/2022 11:00,460,500,14,2,-,29/01/2022 23:36,30/01/2022 03:56,3,-9,45,628,M2M_CATALOG
13/03/2022 21:00,10/03/2022 19:23,-,2022/03/13 1047,13/03/2022 21:00,15/03/2022 19:00,410,540,15,2,-,10/03/2022 19:23,11/03/2022 01:06,16,10,61,677,M2M_CATALOG
07/04/2022 13:00,03/04/2022 16:38,-,2022/04/06 2318,07/04/2022 13:00,08/04/2022 22:00,380,430,8,0,-,03/04/2022 16:38,03/04/2022 21:19,-4,22,35,702,M2M_CATALOG
13/04/2022 02:00,09/04/2022 09:12,-,2022/04/12 1122,13/04/2022 02:00,13/04/2022 22:00,460,510,11,2,-,09/04/2022 09:12,09/04/2022 20:27,-32,19,35,422,M2M_CATALOG
14/04/2022 13:00,11/04/2022 06:00,-,2022/04/14 0900,14/04/2022 13:00,15/04/2022 02:00,520,550,18,2,-,11/04/2022 06:00,11/04/2022 11:45,-6,2,46,553,M2M_CATALOG
07/07/2022 12:00,03/07/2022 03:09,-,2022/07/07 0900,07/07/2022 12:00,08/07/2022 08:00,380,400,19,2,-,03/07/2022 03:09,03/07/2022 14:09,6,-2,30,247,M2M_CATALOG
19/07/2022 05:00,15/07/2022 15:23,-,2022/07/18 2119,19/07/2022 05:00,20/07/2022 11:00,440,490,10,2,-,15/07/2022 15:23,15/07/2022 23:33,21,12,41,539,M2M_CATALOG
20/08/2022 08:00,17/08/2022 14:53,-,2022/08/19 1731,20/08/2022 08:00,20/08/2022 18:00,490,700,5,1,-,17/08/2022 14:53,17/08/2022 19:26,-26,18,49,767,M2M_CATALOG
04/01/2023 02:00,30/12/2022 16:53,-,2023/01/03 2100,04/01/2023 02:00,05/01/2023 22:00,380,430,18,2,-,30/12/2022 16:53,31/12/2022 00:31,-24,14,32,452,M2M_CATALOG
27/02/2023 20:00,25/02/2023 19:38,-,2023/02/27 1000,27/02/2023 20:00,28/02/2023 17:00,650,820,10,0,-,25/02/2023 19:38,25/02/2023 23:23,10,48,58,920,M2M_CATALOG
15/03/2023 21:00,13/03/2023 10:53,-,2023/03/15 0427,15/03/2023 21:00,17/03/2023 07:00,490,570,7,0,-,13/03/2023 10:53,13/03/2023 15:25,31,31,39,750,M2M_CATALOG
23/03/2023 14:00,20/03/2023 14:42,-,2023/03/23 0500,23/03/2023 14:00,24/03/2023 07:00,450,490,20,2,-,20/03/2023 14:42,20/03/2023 19:41,27,-40,45,749,M2M_CATALOG
24/04/2023 01:00,21/04/2023 18:12,-,2023/04/23 1738,24/04/2023 01:00,25/04/2023 19:00,520,680,17,2,-,21/04/2023 18:12,21/04/2023 21:09,-13,19,43,1204,M2M_CATALOG
10/05/2023 12:00,07/05/2023 23:12,-,2023/05/09 2250,10/05/2023 12:00,12/05/2023 06:00,550,660,6,0,-,07/05/2023 23:12,08/05/2023 01:24,11,14,44,1494,M2M_CATALOG
12/05/2023 12:00,09/05/2023 19:00,-,2023/05/12 0633,12/05/2023 12:00,13/05/2023 21:00,480,580,7,0,-,09/05/2023 19:00,09/05/2023 21:05,11,26,45,1651,M2M_CATALOG
07/07/2023 12:00,04/07/2023 04:36,-,2023/07/07 1200,07/07/2023 12:00,08/07/2023 15:00,450,500,6,0,-,04/07/2023 04:36,04/07/2023 10:30,-22,-14,45,635,M2M_CATALOG
14/07/2023 20:00,10/07/2023 04:00,-,2023/07/14 1611,14/07/2023 20:00,15/07/2023 10:00,380,430,12,1,-,10/07/2023 04:00,10/07/2023 07:48,-10,37,45,901,M2M_CATALOG
17/07/2023 20:00,14/07/2023 19:10,-,2023/07/16 1922,17/07/2023 20:00,19/07/2023 04:00,500,570,6,1,-,14/07/2023 19:10,14/07/2023 22:24,-18,2,40,934,M2M_CATALOG
02/09/2023 20:00,30/08/2023 22:12,-,2023/09/02 0434,02/09/2023 20:00,04/09/2023 00:00,490,720,7,0,-,30/08/2023 22:12,31/08/2023 01:54,6,-7,45,729,M2M_CATALOG
18/09/2023 02:00,14/09/2023 23:12,-,2023/09/17 0234,18/09/2023 02:00,19/09/2023 00:00,430,480,10,1,-,14/09/2023 23:12,15/09/2023 06:11,-3,-33,42,466,M2M_CATALOG
19/09/2023 08:00,16/09/2023 09:12,-,2023/09/18 1331,19/09/2023 08:00,21/09/2023 10:00,510,640,6,0,-,16/09/2023 09:12,16/09/2023 16:00,2,30,45,523,M2M_CATALOG
25/09/2023 09:00,22/09/2023 22:24,-,2023/09/24 2043,25/09/2023 09:00,26/09/2023 11:00,440,480,19,2,-,22/09/2023 22:24,23/09/2023 02:46,-12,2,19,786,M2M_CATALOG
06/10/2023 16:00,02/10/2023 18:24,-,2023/10/05 2225,06/10/2023 16:00,07/10/2023 18:00,370,490,6,0,-,02/10/2023 18:24,03/10/2023 01:32,0,-20,29,467,M2M_CATALOG
12/11/2023 12:00,09/11/2023 12:23,-,2023/11/12 0613,12/11/2023 12:00,13/11/2023 17:00,460,570,8,1,-,09/11/2023 12:23,09/11/2023 16:01,14,10,45,782,M2M_CATALOG
