ICME,CME,-,Disturbance_Time,ICME_Start_Time,ICME_End_Time,V_ICME,V_max,B,MC,- ,CME_Time,Time_21.5,lat,lon,Ang_rad,V,cat,tt_icme,v_eff
23/02/2021 08:00,20/02/2021 11:36,-,2021-02-23 02:00:00,2021-02-23 08:00:00,2021-02-24 15:00:00,510,590,5,0,-,2021-02-20 11:36:00,2021-02-20 18:33:00,-18,-31,50,680,M2M_CATALOG,2.560416666666667,608.5602115541091
12/05/2021 15:00,09/05/2021 11:23,-,2021-05-12 06:37:00,2021-05-12 15:00:00,2021-05-14 20:00:00,410,500,8,2,-,2021-05-09 11:23:00,2021-05-09 15:54:00,-4,-10,27,717,M2M_CATALOG,2.9625,525.9637834036569
05/07/2021 04:00,29/06/2021 10:53,-,2021-07-05 01:41:00,2021-07-05 04:00:00,2021-07-06 02:00:00,340,350,7,2,-,2021-06-29 10:53:00,2021-06-29 18:23:00,-1,-10,11,275,M2M_CATALOG,5.4006944444444445,288.51247267583904
27/08/2021 12:00,23/08/2021 06:36,-,2021-08-27 01:14:00,2021-08-27 12:00:00,2021-08-28 15:00:00,380,420,12,2,-,2021-08-23 06:36:00,2021-08-23 14:36:00,11,-1,35,393,M2M_CATALOG,3.8916666666666666,400.3857066381156
28/11/2021 10:00,24/11/2021 14:09,-,2021-11-27 22:51:00,2021-11-28 10:00:00,2021-11-29 02:00:00,370,400,10,2,-,2021-11-24 14:09:00,2021-11-24 19:47:00,-16,-3,31,561,M2M_CATALOG,3.592361111111111,433.7447322636768
02/02/2022 16:00,29/01/2022 23:36,-,2022-02-01 22:20:00,2022-02-02 16:00:00,2022-02-03 11:00:00,460,500,14,2,-,2022-01-29 23:36:00,2022-01-30 03:56:00,3,-9,45,628,M2M_CATALOG,3.5027777777777778,444.83772799365585
13/03/2022 21:00,10/03/2022 19:23,-,2022-03-13 10:47:00,2022-03-13 21:00:00,2022-03-15 19:00:00,410,540,15,2,-,2022-03-10 19:23:00,2022-03-11 01:06:00,16,10,61,677,M2M_CATALOG,2.8291666666666666,550.75147275405
07/04/2022 13:00,03/04/2022 16:38,-,2022-04-06 23:18:00,2022-04-07 13:00:00,2022-04-08 22:00:00,380,430,8,0,-,2022-04-03 16:38:00,2022-04-03 21:19:00,-4,22,35,702,M2M_CATALOG,3.6534722222222222,426.48954571374264
07/07/2022 12:00,03/07/2022 03:09,-,2022-07-07 09:00:00,2022-07-07 12:00:00,2022-07-08 08:00:00,380,400,19,2,-,2022-07-03 03:09:00,2022-07-03 14:09:00,6,-2,30,247,M2M_CATALOG,3.9104166666666664,398.4659030367608
19/07/2022 05:00,15/07/2022 15:23,-,2022-07-18 21:19:00,2022-07-19 05:00:00,2022-07-20 11:00:00,440,490,10,2,-,2022-07-15 15:23:00,2022-07-15 23:33:00,21,12,41,539,M2M_CATALOG,3.2270833333333333,482.84086507424144
20/08/2022 08:00,17/08/2022 14:53,-,2022-08-19 17:31:00,2022-08-20 08:00:00,2022-08-20 18:00:00,490,700,5,1,-,2022-08-17 14:53:00,2022-08-17 19:26:00,-26,18,49,767,M2M_CATALOG,2.5236111111111112,617.4357457347276
04/01/2023 02:00,30/12/2022 16:53,-,2023-01-03 21:00:00,2023-01-04 02:00:00,2023-01-05 22:00:00,380,430,18,2,-,2022-12-30 16:53:00,2022-12-31 00:31:00,-24,14,32,452,M2M_CATALOG,4.061805555555556,383.61454949564023
27/02/2023 20:00,25/02/2023 19:38,-,2023-02-27 10:00:00,2023-02-27 20:00:00,2023-02-28 17:00:00,650,820,10,0,-,2023-02-25 19:38:00,2023-02-25 23:23:00,10,48,58,920,M2M_CATALOG,1.8590277777777777,838.162682106836
15/03/2023 21:00,13/03/2023 10:53,-,2023-03-15 04:27:00,2023-03-15 21:00:00,2023-03-17 07:00:00,490,570,7,0,-,2023-03-13 10:53:00,2023-03-13 15:25:00,31,31,39,750,M2M_CATALOG,2.232638888888889,697.9040435458788
23/03/2023 14:00,20/03/2023 14:42,-,2023-03-23 05:00:00,2023-03-23 14:00:00,2023-03-24 07:00:00,450,490,20,2,-,2023-03-20 14:42:00,2023-03-20 19:41:00,27,-40,45,749,M2M_CATALOG,2.7631944444444443,563.9008544860518
24/04/2023 01:00,21/04/2023 18:12,-,2023-04-23 17:38:00,2023-04-24 01:00:00,2023-04-25 19:00:00,520,680,17,2,-,2023-04-21 18:12:00,2023-04-21 21:09:00,-13,19,43,1204,M2M_CATALOG,2.160416666666667,721.2348119575698
07/07/2023 12:00,04/07/2023 04:36,-,2023-07-07 12:00:00,2023-07-07 12:00:00,2023-07-08 15:00:00,450,500,6,0,-,2023-07-04 04:36:00,2023-07-04 10:30:00,-22,-14,45,635,M2M_CATALOG,3.0625,508.7894557823129
02/09/2023 20:00,30/08/2023 22:12,-,2023-09-02 04:34:00,2023-09-02 20:00:00,2023-09-04 00:00:00,490,720,7,0,-,2023-08-30 22:12:00,2023-08-31 01:54:00,6,-7,45,729,M2M_CATALOG,2.7541666666666664,565.749243570348
25/09/2023 09:00,22/09/2023 22:24,-,2023-09-24 20:43:00,2023-09-25 09:00:00,2023-09-26 11:00:00,440,480,19,2,-,2023-09-22 22:24:00,2023-09-23 02:46:00,-12,2,19,786,M2M_CATALOG,2.2597222222222224,689.5394898586355
06/10/2023 16:00,02/10/2023 18:24,-,2023-10-05 22:25:00,2023-10-06 16:00:00,2023-10-07 18:00:00,370,490,6,0,-,2023-10-02 18:24:00,2023-10-03 01:32:00,0,-20,29,467,M2M_CATALOG,3.602777777777778,432.49065150346956
12/11/2023 12:00,09/11/2023 12:23,-,2023-11-12 06:13:00,2023-11-12 12:00:00,2023-11-13 17:00:00,460,570,8,1,-,2023-11-09 12:23:00,2023-11-09 16:01:00,14,10,45,782,M2M_CATALOG,2.832638888888889,550.076366756558
